epsilon = 0.1;
        gamma = 0.1;
        alpha = 0.5;
reward -1000,1
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 95 totalScore 141 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 96 totalScore 143 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 97 totalScore 146 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 9 StepCount 98 totalScore 151 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 99 totalScore 151 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 100 totalScore 152 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 101 totalScore 152 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 102 totalScore 152 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 103 totalScore 154 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 104 totalScore 154 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 105 totalScore 154 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 106 totalScore 156 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 107 totalScore 157 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 9 StepCount 108 totalScore 162 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 109 totalScore 163 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 110 totalScore 163 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 111 totalScore 165 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 112 totalScore 165 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 9 StepCount 113 totalScore 171 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 114 totalScore 172 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 115 totalScore 175 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 116 totalScore 177 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 117 totalScore 177 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 118 totalScore 179 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 119 totalScore 181 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 120 totalScore 184 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 9 StepCount 121 totalScore 186 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 122 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 123 totalScore 190 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 124 totalScore 191 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 9 StepCount 125 totalScore 196 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 126 totalScore 199 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 127 totalScore 200 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 128 totalScore 201 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 129 totalScore 201 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 130 totalScore 204 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 131 totalScore 204 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 9 StepCount 132 totalScore 207 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 9 StepCount 133 totalScore 216 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 9 StepCount 134 totalScore 217 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 9 StepCount 135 totalScore 222 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 9 StepCount 136 totalScore 222 (index.js, line 239)
